Measure,Country,Time,Value,Flags
"National currency, current prices",Australia,1970,40370,
"National currency, current prices",Australia,1971,44542,
"National currency, current prices",Australia,1972,49810,
"National currency, current prices",Australia,1973,60359,
"National currency, current prices",Australia,1974,71237,
"National currency, current prices",Australia,1975,83317,
"National currency, current prices",Australia,1976,96177,
"National currency, current prices",Australia,1977,105025,
"National currency, current prices",Australia,1978,118716,
"National currency, current prices",Australia,1979,134587,
"National currency, current prices",Australia,1980,152351,
"National currency, current prices",Australia,1981,175865,
"National currency, current prices",Australia,1982,189398,
"National currency, current prices",Australia,1983,213766,
"National currency, current prices",Australia,1984,235385,
"National currency, current prices",Australia,1985,260909,
"National currency, current prices",Australia,1986,286703,
"National currency, current prices",Australia,1987,325629,
"National currency, current prices",Australia,1988,369512,
"National currency, current prices",Australia,1989,404656,
"National currency, current prices",Australia,1990,414824,
"National currency, current prices",Australia,1991,423104,
"National currency, current prices",Australia,1992,443989,
"National currency, current prices",Australia,1993,466652,
"National currency, current prices",Australia,1994,495922,
"National currency, current prices",Australia,1995,529282,
"National currency, current prices",Australia,1996,556902,
"National currency, current prices",Australia,1997,589017,
"National currency, current prices",Australia,1998,620555,
"National currency, current prices",Australia,1999,661136,
"National currency, current prices",Australia,2000,705562,
"National currency, current prices",Australia,2001,753858,
"National currency, current prices",Australia,2002,801261,
"National currency, current prices",Australia,2003,861982,
"National currency, current prices",Australia,2004,922710,
"National currency, current prices",Australia,2005,998312,
"National currency, current prices",Australia,2006,1087555,
"National currency, current prices",Australia,2007,1178952,
"National currency, current prices",Australia,2008,1258654,
"National currency, current prices",Australia,2009,1296324,
"National currency, current prices",Australia,2010,1406671,
"National currency, current prices",Australia,2011,1486071,
"National currency, current prices",Australia,2012,1521163,
"National currency, current prices",Australia,2013,1575896,
"National currency, current prices",Australia,1970,3187.91,
"National currency, current prices",Australia,1971,3374.808,
"National currency, current prices",Australia,1972,3714.589,
"National currency, current prices",Australia,1973,4433.486,
"National currency, current prices",Australia,1974,5150.167,
"National currency, current prices",Australia,1975,5964.472,
"National currency, current prices",Australia,1976,6816.178,
"National currency, current prices",Australia,1977,7353.902,
"National currency, current prices",Australia,1978,8226.554,
"National currency, current prices",Australia,1979,9216.721,
"National currency, current prices",Australia,1980,10288.863,
"National currency, current prices",Australia,1981,11682.186,
"National currency, current prices",Australia,1982,12387.949,
"National currency, current prices",Australia,1983,13806.055,
"National currency, current prices",Australia,1984,15014.401,
"National currency, current prices",Australia,1985,16408.787,
"National currency, current prices",Australia,1986,17764.862,
"National currency, current prices",Australia,1987,19861.917,
"National currency, current prices",Australia,1988,22143.596,
"National currency, current prices",Australia,1989,23892.225,
"National currency, current prices",Australia,1990,24160.14,
"National currency, current prices",Australia,1991,24334.471,
"National currency, current prices",Australia,1992,25253.503,
"National currency, current prices",Australia,1993,26279.693,
"National currency, current prices",Australia,1994,27630.271,
"National currency, current prices",Australia,1995,29092.668,
"National currency, current prices",Australia,1996,30237.873,
"National currency, current prices",Australia,1997,31656.754,
"National currency, current prices",Australia,1998,32987.857,
"National currency, current prices",Australia,1999,34731.335,
"National currency, current prices",Australia,2000,36614.456,
"National currency, current prices",Australia,2001,38597.281,
"National currency, current prices",Australia,2002,40532.329,
"National currency, current prices",Australia,2003,43078.771,
"National currency, current prices",Australia,2004,45566.578,
"National currency, current prices",Australia,2005,48599.336,
"National currency, current prices",Australia,2006,52107.736,
"National currency, current prices",Australia,2007,55451.747,
"National currency, current prices",Australia,2008,57927.34,
"National currency, current prices",Australia,2009,58581.071,
"National currency, current prices",Australia,2010,62722.811,
"National currency, current prices",Australia,2011,65289.654,
"National currency, current prices",Australia,2012,65770.636,
"National currency, current prices",Australia,2013,66938.228,
"National currency, current prices",Australia,1970,3.987,
"National currency, current prices",Australia,1971,4.314,
"National currency, current prices",Australia,1972,4.756,
"National currency, current prices",Australia,1973,5.613,
"National currency, current prices",Australia,1974,6.563,
"National currency, current prices",Australia,1975,7.708,
"National currency, current prices",Australia,1976,8.83,
"National currency, current prices",Australia,1977,9.506,
"National currency, current prices",Australia,1978,10.737,
"National currency, current prices",Australia,1979,11.826,
"National currency, current prices",Australia,1980,13.118,
"National currency, current prices",Australia,1981,15.064,
"National currency, current prices",Australia,1982,16.802,
"National currency, current prices",Australia,1983,18.577,
"National currency, current prices",Australia,1984,19.985,
"National currency, current prices",Australia,1985,21.127,
"National currency, current prices",Australia,1986,22.654,
"National currency, current prices",Australia,1987,24.865,
"National currency, current prices",Australia,1988,27.089,
"National currency, current prices",Australia,1989,28.708,
"National currency, current prices",Australia,1990,30.036,
"National currency, current prices",Australia,1991,31.077,
"National currency, current prices",Australia,1992,32.664,
"National currency, current prices",Australia,1993,33.537,
"National currency, current prices",Australia,1994,34.199,
"National currency, current prices",Australia,1995,35.641,
"National currency, current prices",Australia,1996,37.355,
"National currency, current prices",Australia,1997,39.121,
"National currency, current prices",Australia,1998,40.757,
"National currency, current prices",Australia,1999,41.983,
"National currency, current prices",Australia,2000,44.703,
"National currency, current prices",Australia,2001,47.801,
"National currency, current prices",Australia,2002,49.46,
"National currency, current prices",Australia,2003,52.215,
"National currency, current prices",Australia,2004,54.746,
"National currency, current prices",Australia,2005,57.982,
"National currency, current prices",Australia,2006,61.42,
"National currency, current prices",Australia,2007,64.62,
"National currency, current prices",Australia,2008,68.179,
"National currency, current prices",Australia,2009,70.381,
"National currency, current prices",Australia,2010,74.519,
"National currency, current prices",Australia,2011,77.513,
"National currency, current prices",Australia,2012,79.495,
"National currency, current prices",Australia,2013,81.776,
"USD, current prices, current PPPs",Australia,1970,58800.75,
"USD, current prices, current PPPs",Australia,1971,64049.179,
"USD, current prices, current PPPs",Australia,1972,69753.695,
"USD, current prices, current PPPs",Australia,1973,78801.594,
"USD, current prices, current PPPs",Australia,1974,86229.224,
"USD, current prices, current PPPs",Australia,1975,96597.588,
"USD, current prices, current PPPs",Australia,1976,104121.83,
"USD, current prices, current PPPs",Australia,1977,110080.542,
"USD, current prices, current PPPs",Australia,1978,123084.945,
"USD, current prices, current PPPs",Australia,1979,137722.901,
"USD, current prices, current PPPs",Australia,1980,154730.357,
"USD, current prices, current PPPs",Australia,1981,177682.993,
"USD, current prices, current PPPs",Australia,1982,181435.568,
"USD, current prices, current PPPs",Australia,1983,196150.038,
"USD, current prices, current PPPs",Australia,1984,211074.042,
"USD, current prices, current PPPs",Australia,1985,229720.019,
"USD, current prices, current PPPs",Australia,1986,238641.639,
"USD, current prices, current PPPs",Australia,1987,259435.316,
"USD, current prices, current PPPs",Australia,1988,282350.199,
"USD, current prices, current PPPs",Australia,1989,297918.054,
"USD, current prices, current PPPs",Australia,1990,304703.416,
"USD, current prices, current PPPs",Australia,1991,313880.535,
"USD, current prices, current PPPs",Australia,1992,335336.779,
"USD, current prices, current PPPs",Australia,1993,356992.176,
"USD, current prices, current PPPs",Australia,1994,381062.65,
"USD, current prices, current PPPs",Australia,1995,405929.976,
"USD, current prices, current PPPs",Australia,1996,425351.257,
"USD, current prices, current PPPs",Australia,1997,448643.326,
"USD, current prices, current PPPs",Australia,1998,478967.657,
"USD, current prices, current PPPs",Australia,1999,509762.134,
"USD, current prices, current PPPs",Australia,2000,538379.281,
"USD, current prices, current PPPs",Australia,2001,569266.87,
"USD, current prices, current PPPs",Australia,2002,599526.437,
"USD, current prices, current PPPs",Australia,2003,637705.809,
"USD, current prices, current PPPs",Australia,2004,674958.041,
"USD, current prices, current PPPs",Australia,2005,719060.639,
"USD, current prices, current PPPs",Australia,2006,773054.265,
"USD, current prices, current PPPs",Australia,2007,826248.661,
"USD, current prices, current PPPs",Australia,2008,850975.066,
"USD, current prices, current PPPs",Australia,2009,898718.013,
"USD, current prices, current PPPs",Australia,2010,933962.647,
"USD, current prices, current PPPs",Australia,2011,983467.988,
"USD, current prices, current PPPs",Australia,2012,1027058.944,
"USD, current prices, current PPPs",Australia,2013,1069963.897,
"USD, current prices, current PPPs",Australia,1970,4643.337,
"USD, current prices, current PPPs",Australia,1971,4852.806,
"USD, current prices, current PPPs",Australia,1972,5201.894,
"USD, current prices, current PPPs",Australia,1973,5788.13,
"USD, current prices, current PPPs",Australia,1974,6234.049,
"USD, current prices, current PPPs",Australia,1975,6915.199,
"USD, current prices, current PPPs",Australia,1976,7379.237,
"USD, current prices, current PPPs",Australia,1977,7707.894,
"USD, current prices, current PPPs",Australia,1978,8529.305,
"USD, current prices, current PPPs",Australia,1979,9431.473,
"USD, current prices, current PPPs",Australia,1980,10449.55,
"USD, current prices, current PPPs",Australia,1981,11802.95,
"USD, current prices, current PPPs",Australia,1982,11867.15,
"USD, current prices, current PPPs",Australia,1983,12668.33,
"USD, current prices, current PPPs",Australia,1984,13463.689,
"USD, current prices, current PPPs",Australia,1985,14447.286,
"USD, current prices, current PPPs",Australia,1986,14786.855,
"USD, current prices, current PPPs",Australia,1987,15824.397,
"USD, current prices, current PPPs",Australia,1988,16920.286,
"USD, current prices, current PPPs",Australia,1989,17590.065,
"USD, current prices, current PPPs",Australia,1990,17746.507,
"USD, current prices, current PPPs",Australia,1991,18052.575,
"USD, current prices, current PPPs",Australia,1992,19073.509,
"USD, current prices, current PPPs",Australia,1993,20104.156,
"USD, current prices, current PPPs",Australia,1994,21230.888,
"USD, current prices, current PPPs",Australia,1995,22312.465,
"USD, current prices, current PPPs",Australia,1996,23095.118,
"USD, current prices, current PPPs",Australia,1997,24112.363,
"USD, current prices, current PPPs",Australia,1998,25461.267,
"USD, current prices, current PPPs",Australia,1999,26779.24,
"USD, current prices, current PPPs",Australia,2000,27938.671,
"USD, current prices, current PPPs",Australia,2001,29146.276,
"USD, current prices, current PPPs",Australia,2002,30327.45,
"USD, current prices, current PPPs",Australia,2003,31870.251,
"USD, current prices, current PPPs",Australia,2004,33331.739,
"USD, current prices, current PPPs",Australia,2005,35004.958,
"USD, current prices, current PPPs",Australia,2006,37039.145,
"USD, current prices, current PPPs",Australia,2007,38862.423,
"USD, current prices, current PPPs",Australia,2008,39164.633,
"USD, current prices, current PPPs",Australia,2009,40613.198,
"USD, current prices, current PPPs",Australia,2010,41644.964,
"USD, current prices, current PPPs",Australia,2011,43208.087,
"USD, current prices, current PPPs",Australia,2012,44407.023,
"USD, current prices, current PPPs",Australia,2013,45448.105,
"USD, current prices, current PPPs",Australia,1970,5.807,
"USD, current prices, current PPPs",Australia,1971,6.203,
"USD, current prices, current PPPs",Australia,1972,6.66,
"USD, current prices, current PPPs",Australia,1973,7.328,
"USD, current prices, current PPPs",Australia,1974,7.945,
"USD, current prices, current PPPs",Australia,1975,8.936,
"USD, current prices, current PPPs",Australia,1976,9.559,
"USD, current prices, current PPPs",Australia,1977,9.964,
"USD, current prices, current PPPs",Australia,1978,11.132,
"USD, current prices, current PPPs",Australia,1979,12.102,
"USD, current prices, current PPPs",Australia,1980,13.323,
"USD, current prices, current PPPs",Australia,1981,15.219,
"USD, current prices, current PPPs",Australia,1982,16.096,
"USD, current prices, current PPPs",Australia,1983,17.046,
"USD, current prices, current PPPs",Australia,1984,17.921,
"USD, current prices, current PPPs",Australia,1985,18.601,
"USD, current prices, current PPPs",Australia,1986,18.856,
"USD, current prices, current PPPs",Australia,1987,19.811,
"USD, current prices, current PPPs",Australia,1988,20.699,
"USD, current prices, current PPPs",Australia,1989,21.136,
"USD, current prices, current PPPs",Australia,1990,22.062,
"USD, current prices, current PPPs",Australia,1991,23.055,
"USD, current prices, current PPPs",Australia,1992,24.67,
"USD, current prices, current PPPs",Australia,1993,25.656,
"USD, current prices, current PPPs",Australia,1994,26.278,
"USD, current prices, current PPPs",Australia,1995,27.335,
"USD, current prices, current PPPs",Australia,1996,28.531,
"USD, current prices, current PPPs",Australia,1997,29.798,
"USD, current prices, current PPPs",Australia,1998,31.458,
"USD, current prices, current PPPs",Australia,1999,32.371,
"USD, current prices, current PPPs",Australia,2000,34.11,
"USD, current prices, current PPPs",Australia,2001,36.097,
"USD, current prices, current PPPs",Australia,2002,37.007,
"USD, current prices, current PPPs",Australia,2003,38.63,
"USD, current prices, current PPPs",Australia,2004,40.047,
"USD, current prices, current PPPs",Australia,2005,41.763,
"USD, current prices, current PPPs",Australia,2006,43.659,
"USD, current prices, current PPPs",Australia,2007,45.288,
"USD, current prices, current PPPs",Australia,2008,46.096,
"USD, current prices, current PPPs",Australia,2009,48.794,
"USD, current prices, current PPPs",Australia,2010,49.477,
"USD, current prices, current PPPs",Australia,2011,51.297,
"USD, current prices, current PPPs",Australia,2012,53.673,
"USD, current prices, current PPPs",Australia,2013,55.522,
"USD, constant prices, 2005 PPPs",Australia,1970,237276.776,
"USD, constant prices, 2005 PPPs",Australia,1971,246556.133,
"USD, constant prices, 2005 PPPs",Australia,1972,252959.617,
"USD, constant prices, 2005 PPPs",Australia,1973,263331.302,
"USD, constant prices, 2005 PPPs",Australia,1974,266842.89,
"USD, constant prices, 2005 PPPs",Australia,1975,273746.475,
"USD, constant prices, 2005 PPPs",Australia,1976,283623.209,
"USD, constant prices, 2005 PPPs",Australia,1977,286168.924,
"USD, constant prices, 2005 PPPs",Australia,1978,297769.694,
"USD, constant prices, 2005 PPPs",Australia,1979,306855.076,
"USD, constant prices, 2005 PPPs",Australia,1980,317155.809,
"USD, constant prices, 2005 PPPs",Australia,1981,327696.866,
"USD, constant prices, 2005 PPPs",Australia,1982,320377.291,
"USD, constant prices, 2005 PPPs",Australia,1983,335212.705,
"USD, constant prices, 2005 PPPs",Australia,1984,352809.552,
"USD, constant prices, 2005 PPPs",Australia,1985,366684.242,
"USD, constant prices, 2005 PPPs",Australia,1986,375676.356,
"USD, constant prices, 2005 PPPs",Australia,1987,396619.997,
"USD, constant prices, 2005 PPPs",Australia,1988,412334.881,
"USD, constant prices, 2005 PPPs",Australia,1989,429444.787,
"USD, constant prices, 2005 PPPs",Australia,1990,428918.935,
"USD, constant prices, 2005 PPPs",Australia,1991,430281.342,
"USD, constant prices, 2005 PPPs",Australia,1992,448075.598,
"USD, constant prices, 2005 PPPs",Australia,1993,466168.542,
"USD, constant prices, 2005 PPPs",Australia,1994,483569.125,
"USD, constant prices, 2005 PPPs",Australia,1995,502645.68,
"USD, constant prices, 2005 PPPs",Australia,1996,522474.678,
"USD, constant prices, 2005 PPPs",Australia,1997,545628.725,
"USD, constant prices, 2005 PPPs",Australia,1998,572926.641,
"USD, constant prices, 2005 PPPs",Australia,1999,595136.56,
"USD, constant prices, 2005 PPPs",Australia,2000,606589.13,
"USD, constant prices, 2005 PPPs",Australia,2001,630055.599,
"USD, constant prices, 2005 PPPs",Australia,2002,649453.73,
"USD, constant prices, 2005 PPPs",Australia,2003,676458.107,
"USD, constant prices, 2005 PPPs",Australia,2004,698226.288,
"USD, constant prices, 2005 PPPs",Australia,2005,719060.639,
"USD, constant prices, 2005 PPPs",Australia,2006,746162.291,
"USD, constant prices, 2005 PPPs",Australia,2007,773752.028,
"USD, constant prices, 2005 PPPs",Australia,2008,787237.051,
"USD, constant prices, 2005 PPPs",Australia,2009,802688.723,
"USD, constant prices, 2005 PPPs",Australia,2010,820663.222,
"USD, constant prices, 2005 PPPs",Australia,2011,850328.898,
"USD, constant prices, 2005 PPPs",Australia,2012,872417.511,
"USD, constant prices, 2005 PPPs",Australia,2013,893773.708,
"USD, constant prices, 2005 PPPs",Australia,1970,18737.107,
"USD, constant prices, 2005 PPPs",Australia,1971,18680.788,
"USD, constant prices, 2005 PPPs",Australia,1972,18864.508,
"USD, constant prices, 2005 PPPs",Australia,1973,19342.195,
"USD, constant prices, 2005 PPPs",Australia,1974,19291.738,
"USD, constant prices, 2005 PPPs",Australia,1975,19596.879,
"USD, constant prices, 2005 PPPs",Australia,1976,20100.713,
"USD, constant prices, 2005 PPPs",Australia,1977,20037.69,
"USD, constant prices, 2005 PPPs",Australia,1978,20634.274,
"USD, constant prices, 2005 PPPs",Australia,1979,21013.9,
"USD, constant prices, 2005 PPPs",Australia,1980,21418.781,
"USD, constant prices, 2005 PPPs",Australia,1981,21767.923,
"USD, constant prices, 2005 PPPs",Australia,1982,20954.907,
"USD, constant prices, 2005 PPPs",Australia,1983,21649.678,
"USD, constant prices, 2005 PPPs",Australia,1984,22504.51,
"USD, constant prices, 2005 PPPs",Australia,1985,23061.081,
"USD, constant prices, 2005 PPPs",Australia,1986,23277.882,
"USD, constant prices, 2005 PPPs",Australia,1987,24192.051,
"USD, constant prices, 2005 PPPs",Australia,1988,24709.825,
"USD, constant prices, 2005 PPPs",Australia,1989,25355.837,
"USD, constant prices, 2005 PPPs",Australia,1990,24981.056,
"USD, constant prices, 2005 PPPs",Australia,1991,24747.269,
"USD, constant prices, 2005 PPPs",Australia,1992,25485.943,
"USD, constant prices, 2005 PPPs",Australia,1993,26252.467,
"USD, constant prices, 2005 PPPs",Australia,1994,26942.031,
"USD, constant prices, 2005 PPPs",Australia,1995,27628.568,
"USD, constant prices, 2005 PPPs",Australia,1996,28368.587,
"USD, constant prices, 2005 PPPs",Australia,1997,29324.849,
"USD, constant prices, 2005 PPPs",Australia,1998,30455.999,
"USD, constant prices, 2005 PPPs",Australia,1999,31264.199,
"USD, constant prices, 2005 PPPs",Australia,2000,31478.355,
"USD, constant prices, 2005 PPPs",Australia,2001,32258.639,
"USD, constant prices, 2005 PPPs",Australia,2002,32853.056,
"USD, constant prices, 2005 PPPs",Australia,2003,33806.952,
"USD, constant prices, 2005 PPPs",Australia,2004,34480.804,
"USD, constant prices, 2005 PPPs",Australia,2005,35004.958,
"USD, constant prices, 2005 PPPs",Australia,2006,35750.677,
"USD, constant prices, 2005 PPPs",Australia,2007,36393.256,
"USD, constant prices, 2005 PPPs",Australia,2008,36231.203,
"USD, constant prices, 2005 PPPs",Australia,2009,36273.621,
"USD, constant prices, 2005 PPPs",Australia,2010,36592.995,
"USD, constant prices, 2005 PPPs",Australia,2011,37358.699,
"USD, constant prices, 2005 PPPs",Australia,2012,37720.78,
"USD, constant prices, 2005 PPPs",Australia,2013,37964.198,
"USD, constant prices, 2005 PPPs",Australia,1970,23.435,
"USD, constant prices, 2005 PPPs",Australia,1971,23.879,
"USD, constant prices, 2005 PPPs",Australia,1972,24.151,
"USD, constant prices, 2005 PPPs",Australia,1973,24.487,
"USD, constant prices, 2005 PPPs",Australia,1974,24.586,
"USD, constant prices, 2005 PPPs",Australia,1975,25.324,
"USD, constant prices, 2005 PPPs",Australia,1976,26.038,
"USD, constant prices, 2005 PPPs",Australia,1977,25.903,
"USD, constant prices, 2005 PPPs",Australia,1978,26.93,
"USD, constant prices, 2005 PPPs",Australia,1979,26.964,
"USD, constant prices, 2005 PPPs",Australia,1980,27.308,
"USD, constant prices, 2005 PPPs",Australia,1981,28.069,
"USD, constant prices, 2005 PPPs",Australia,1982,28.422,
"USD, constant prices, 2005 PPPs",Australia,1983,29.132,
"USD, constant prices, 2005 PPPs",Australia,1984,29.954,
"USD, constant prices, 2005 PPPs",Australia,1985,29.692,
"USD, constant prices, 2005 PPPs",Australia,1986,29.684,
"USD, constant prices, 2005 PPPs",Australia,1987,30.286,
"USD, constant prices, 2005 PPPs",Australia,1988,30.228,
"USD, constant prices, 2005 PPPs",Australia,1989,30.467,
"USD, constant prices, 2005 PPPs",Australia,1990,31.056,
"USD, constant prices, 2005 PPPs",Australia,1991,31.604,
"USD, constant prices, 2005 PPPs",Australia,1992,32.964,
"USD, constant prices, 2005 PPPs",Australia,1993,33.503,
"USD, constant prices, 2005 PPPs",Australia,1994,33.347,
"USD, constant prices, 2005 PPPs",Australia,1995,33.847,
"USD, constant prices, 2005 PPPs",Australia,1996,35.046,
"USD, constant prices, 2005 PPPs",Australia,1997,36.239,
"USD, constant prices, 2005 PPPs",Australia,1998,37.629,
"USD, constant prices, 2005 PPPs",Australia,1999,37.792,
"USD, constant prices, 2005 PPPs",Australia,2000,38.432,
"USD, constant prices, 2005 PPPs",Australia,2001,39.951,
"USD, constant prices, 2005 PPPs",Australia,2002,40.089,
"USD, constant prices, 2005 PPPs",Australia,2003,40.977,
"USD, constant prices, 2005 PPPs",Australia,2004,41.427,
"USD, constant prices, 2005 PPPs",Australia,2005,41.763,
"USD, constant prices, 2005 PPPs",Australia,2006,42.14,
"USD, constant prices, 2005 PPPs",Australia,2007,42.41,
"USD, constant prices, 2005 PPPs",Australia,2008,42.643,
"USD, constant prices, 2005 PPPs",Australia,2009,43.58,
"USD, constant prices, 2005 PPPs",Australia,2010,43.475,
"USD, constant prices, 2005 PPPs",Australia,2011,44.353,
"USD, constant prices, 2005 PPPs",Australia,2012,45.592,
"USD, constant prices, 2005 PPPs",Australia,2013,46.38,
As % of the USA (USA=100),Australia,1970,5.465,
As % of the USA (USA=100),Australia,1971,5.485,
As % of the USA (USA=100),Australia,1972,5.439,
As % of the USA (USA=100),Australia,1973,5.516,
As % of the USA (USA=100),Australia,1974,5.567,
As % of the USA (USA=100),Australia,1975,5.72,
As % of the USA (USA=100),Australia,1976,5.545,
As % of the USA (USA=100),Australia,1977,5.277,
As % of the USA (USA=100),Australia,1978,5.223,
As % of the USA (USA=100),Australia,1979,5.232,
As % of the USA (USA=100),Australia,1980,5.405,
As % of the USA (USA=100),Australia,1981,5.534,
As % of the USA (USA=100),Australia,1982,5.424,
As % of the USA (USA=100),Australia,1983,5.392,
As % of the USA (USA=100),Australia,1984,5.224,
As % of the USA (USA=100),Australia,1985,5.285,
As % of the USA (USA=100),Australia,1986,5.199,
As % of the USA (USA=100),Australia,1987,5.327,
As % of the USA (USA=100),Australia,1988,5.375,
As % of the USA (USA=100),Australia,1989,5.266,
As % of the USA (USA=100),Australia,1990,5.096,
As % of the USA (USA=100),Australia,1991,5.084,
As % of the USA (USA=100),Australia,1992,5.128,
As % of the USA (USA=100),Australia,1993,5.19,
As % of the USA (USA=100),Australia,1994,5.214,
As % of the USA (USA=100),Australia,1995,5.297,
As % of the USA (USA=100),Australia,1996,5.251,
As % of the USA (USA=100),Australia,1997,5.212,
As % of the USA (USA=100),Australia,1998,5.27,
As % of the USA (USA=100),Australia,1999,5.274,
As % of the USA (USA=100),Australia,2000,5.232,
As % of the USA (USA=100),Australia,2001,5.358,
As % of the USA (USA=100),Australia,2002,5.46,
As % of the USA (USA=100),Australia,2003,5.539,
As % of the USA (USA=100),Australia,2004,5.498,
As % of the USA (USA=100),Australia,2005,5.491,
As % of the USA (USA=100),Australia,2006,5.578,
As % of the USA (USA=100),Australia,2007,5.706,
As % of the USA (USA=100),Australia,2008,5.781,
As % of the USA (USA=100),Australia,2009,6.233,
As % of the USA (USA=100),Australia,2010,6.244,
As % of the USA (USA=100),Australia,2011,6.331,
As % of the USA (USA=100),Australia,2012,6.322,
As % of the USA (USA=100),Australia,2013,6.369,
As % of the USA (USA=100),Australia,1970,88.512,
As % of the USA (USA=100),Australia,1971,86.307,
As % of the USA (USA=100),Australia,1972,85.153,
As % of the USA (USA=100),Australia,1973,85.875,
As % of the USA (USA=100),Australia,1974,86.096,
As % of the USA (USA=100),Australia,1975,88.433,
As % of the USA (USA=100),Australia,1976,85.711,
As % of the USA (USA=100),Australia,1977,81.398,
As % of the USA (USA=100),Australia,1978,80.577,
As % of the USA (USA=100),Australia,1979,80.661,
As % of the USA (USA=100),Australia,1980,83.131,
As % of the USA (USA=100),Australia,1981,84.549,
As % of the USA (USA=100),Australia,1982,82.385,
As % of the USA (USA=100),Australia,1983,81.598,
As % of the USA (USA=100),Australia,1984,78.767,
As % of the USA (USA=100),Australia,1985,79.273,
As % of the USA (USA=100),Australia,1986,77.535,
As % of the USA (USA=100),Australia,1987,78.905,
As % of the USA (USA=100),Australia,1988,78.942,
As % of the USA (USA=100),Australia,1989,76.914,
As % of the USA (USA=100),Australia,1990,74.25,
As % of the USA (USA=100),Australia,1991,74.131,
As % of the USA (USA=100),Australia,1992,74.938,
As % of the USA (USA=100),Australia,1993,76.072,
As % of the USA (USA=100),Australia,1994,76.53,
As % of the USA (USA=100),Australia,1995,77.613,
As % of the USA (USA=100),Australia,1996,76.9,
As % of the USA (USA=100),Australia,1997,76.455,
As % of the USA (USA=100),Australia,1998,77.359,
As % of the USA (USA=100),Australia,1999,77.389,
As % of the USA (USA=100),Australia,2000,76.677,
As % of the USA (USA=100),Australia,2001,78.24,
As % of the USA (USA=100),Australia,2002,79.534,
As % of the USA (USA=100),Australia,2003,80.457,
As % of the USA (USA=100),Australia,2004,79.62,
As % of the USA (USA=100),Australia,2005,79.121,
As % of the USA (USA=100),Australia,2006,79.868,
As % of the USA (USA=100),Australia,2007,80.97,
As % of the USA (USA=100),Australia,2008,81.026,
As % of the USA (USA=100),Australia,2009,86.545,
As % of the USA (USA=100),Australia,2010,86.244,
As % of the USA (USA=100),Australia,2011,86.794,
As % of the USA (USA=100),Australia,2012,85.913,
As % of the USA (USA=100),Australia,2013,85.62,
As % of the USA (USA=100),Australia,1970,83.119,
As % of the USA (USA=100),Australia,1971,81.436,
As % of the USA (USA=100),Australia,1972,81.814,
As % of the USA (USA=100),Australia,1973,83.394,
As % of the USA (USA=100),Australia,1974,83.7,
As % of the USA (USA=100),Australia,1975,83.86,
As % of the USA (USA=100),Australia,1976,83.027,
As % of the USA (USA=100),Australia,1977,80.641,
As % of the USA (USA=100),Australia,1978,83.5,
As % of the USA (USA=100),Australia,1979,83.474,
As % of the USA (USA=100),Australia,1980,84.26,
As % of the USA (USA=100),Australia,1981,85.992,
As % of the USA (USA=100),Australia,1982,86,
As % of the USA (USA=100),Australia,1983,85.243,
As % of the USA (USA=100),Australia,1984,84.755,
As % of the USA (USA=100),Australia,1985,83.652,
As % of the USA (USA=100),Australia,1986,81.243,
As % of the USA (USA=100),Australia,1987,82.627,
As % of the USA (USA=100),Australia,1988,82.435,
As % of the USA (USA=100),Australia,1989,80.308,
As % of the USA (USA=100),Australia,1990,79.449,
As % of the USA (USA=100),Australia,1991,79.277,
As % of the USA (USA=100),Australia,1992,80.155,
As % of the USA (USA=100),Australia,1993,81.118,
As % of the USA (USA=100),Australia,1994,80.664,
As % of the USA (USA=100),Australia,1995,81.982,
As % of the USA (USA=100),Australia,1996,81.973,
As % of the USA (USA=100),Australia,1997,82.93,
As % of the USA (USA=100),Australia,1998,84.718,
As % of the USA (USA=100),Australia,1999,83.442,
As % of the USA (USA=100),Australia,2000,83.664,
As % of the USA (USA=100),Australia,2001,84.7,
As % of the USA (USA=100),Australia,2002,83.15,
As % of the USA (USA=100),Australia,2003,82.611,
As % of the USA (USA=100),Australia,2004,81.243,
As % of the USA (USA=100),Australia,2005,80.504,
As % of the USA (USA=100),Australia,2006,80.998,
As % of the USA (USA=100),Australia,2007,81.039,
As % of the USA (USA=100),Australia,2008,80.289,
As % of the USA (USA=100),Australia,2009,81.99,
As % of the USA (USA=100),Australia,2010,79.93,
As % of the USA (USA=100),Australia,2011,80.97,
As % of the USA (USA=100),Australia,2012,82.513,
As % of the USA (USA=100),Australia,2013,83.382,
As % of the USA (USA=100),Australia,1970,106.488,
As % of the USA (USA=100),Australia,1971,105.98,
As % of the USA (USA=100),Australia,1972,104.082,
As % of the USA (USA=100),Australia,1973,102.975,
As % of the USA (USA=100),Australia,1974,102.862,
As % of the USA (USA=100),Australia,1975,105.453,
As % of the USA (USA=100),Australia,1976,103.232,
As % of the USA (USA=100),Australia,1977,100.939,
As % of the USA (USA=100),Australia,1978,96.499,
As % of the USA (USA=100),Australia,1979,96.631,
As % of the USA (USA=100),Australia,1980,98.661,
As % of the USA (USA=100),Australia,1981,98.321,
As % of the USA (USA=100),Australia,1982,95.796,
As % of the USA (USA=100),Australia,1983,95.724,
As % of the USA (USA=100),Australia,1984,92.934,
As % of the USA (USA=100),Australia,1985,94.765,
As % of the USA (USA=100),Australia,1986,95.436,
As % of the USA (USA=100),Australia,1987,95.496,
As % of the USA (USA=100),Australia,1988,95.763,
